runs,form,score_100
28,6,0
18,9,0
9,2,0
55,1,0
17,4,0
39,1,0
66,1,0
14,4,0
66,1,0
27,4,0
96,3,1
9,10,1
45,3,0
96,3,1
14,2,0
66,4,1
29,5,0
91,10,1
12,1,0
14,9,1
99,8,1
32,5,0
88,9,1
5,8,0
10,2,0
26,10,1
14,9,1
65,7,1
77,5,1
43,10,1
38,7,1
11,1,0
100,1,1
54,1,0
58,5,1
93,3,1
3,10,1
2,10,1
30,9,1
31,3,0
39,3,0
94,5,1
53,1,0
25,8,1
8,10,1
6,4,0
35,1,0
13,7,0
17,7,0
50,2,0
23,10,0
28,7,0
11,1,0
60,1,0
54,1,0
38,5,0
13,3,0
3,6,0
2,10,1
30,9,0
21,3,0
39,3,0
74,1,0
53,1,0
25,8,1
8,9,0
6,4,0
45,1,0
13,7,0
30,7,0
50,2,0
